episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
67,2.222,-8.680071905255318,29.37524936614545,0.31179999999999997,81.44,255.83931860198447,0.0,0.0007249373537557538,7.198303328196578e-05,0.0006529543204737879,5.0,7,Proxy_M2
68,2.259,-21.606380845420063,18.468478251616297,0.43428571428571433,135.5124770876192,310.4625180738892,0.0,0.0008020165462111501,6.719041782320848e-05,0.0007348261283879416,6.0,7,Proxy_M2
69,2.293,0.8970170319080353,24.360849833904744,0.21428571428571427,21.21982459421873,110.08,0.0,0.00022992171987581644,1.899904501870188e-05,0.00021092267485711455,2.0,7,Proxy_M2
70,2.26,-18.979029819369316,5.590952160635849,0.293,45.769999999999996,129.92507922953152,0.0,0.0003229464456539633,3.754736444294963e-05,0.00028539908121101365,3.0,7,Proxy_M2
71,2.261,-12.302749243099242,11.165623993284296,0.4761904761904761,181.43670828979083,253.60471684378842,0.0,0.0007578962752687259,5.1261553876548083e-05,0.0007066347213921778,3.0,7,Proxy_M2
72,2.266,19.73641685396433,55.39013899573932,0.37174285714285704,49.98,198.0880445903014,0.0,0.0004729211426139386,6.508596500203281e-05,0.00040783517761190576,5.0,7,Proxy_M2
73,2.271,-23.681491775001632,11.53604940984979,0.37149999999999994,115.15350726513651,223.666655783407,0.0,0.0005697711979652925,4.783681973894897e-05,0.0005219343782263435,4.0,7,Proxy_M2
74,2.252,-4.4566799104213715,36.09094729384645,0.3871428571428571,90.95232870806339,225.99,0.0,0.0006364307754968152,7.603495156019685e-05,0.0005603958239366184,5.0,7,Proxy_M2
75,2.242,-16.751530244015157,6.84821460741947,0.6595952380952382,236.21640872892613,289.6446593293621,0.0,0.000975649385951143,0.00010617458963258512,0.0008694747963185577,6.0,7,Proxy_M2
76,2.242,-9.275545071810484,8.726685444462337,0.4286428571428571,96.9044425808345,184.81594002333568,0.0,0.0005866736820853554,8.384797369297786e-05,0.0005028257083923775,4.0,7,Proxy_M2
77,2.245,-10.98840120434761,29.266935959817186,0.4511428571428571,138.8477283837915,284.4281133791717,0.0,0.0007750730143327596,8.476958327270905e-05,0.0006903034310600507,6.0,7,Proxy_M2
78,2.253,-25.30431513534859,9.170669225757008,0.5171632653061224,188.04036465010867,293.11621249856216,0.0,0.0009093008083809152,9.417741487950787e-05,0.0008151233935014074,7.0,7,Proxy_M2
79,2.235,-8.975499123334885,2.7609573757113886,0.6071428571428571,87.28931639569507,124.46767438808027,0.0,0.000404860123502386,2.570350282776702e-05,0.000379156620674619,2.0,7,Proxy_M2
80,2.232,-7.801376815885305,21.1569489841536,0.28689285714285717,88.26695946112346,230.33963480849437,0.0,0.0005133700018303444,3.974608075440612e-05,0.00047362392107593834,4.0,89,Proxy_M2
81,2.227,-22.442750744521618,18.326521397688932,0.23289285714285715,52.98933184640349,227.8756993527452,0.0,0.0006354429118934745,5.0193299132905375e-05,0.0005852496127605691,4.0,89,Proxy_M2
82,2.213,37.13795578479767,84.0656209,0.21428571428571427,0.0,172.92,0.0,0.00033587324574326345,3.478044965248944e-05,0.000301092796090774,4.0,89,Proxy_M2
83,2.202,-4.451768636703491,3.559782955085043,0.25242857142857145,2.6637555779763296,37.989999999999995,0.0,7.211713298454887e-05,5.842911765065402e-06,6.627422121948347e-05,1.0,89,Proxy_M2
84,2.241,-2.690516856033355,-2.6859767999999975,1.0,11.95999999999999,0.0,0.0,2.452683418151045e-05,1.2465210447730087e-05,1.2061623733780362e-05,1.0,89,Proxy_M2
85,2.267,-12.205146607477218,23.54425513891647,0.48950000000000005,170.7934188479568,288.6648463674001,0.0,0.0008238389483680567,8.40394993906754e-05,0.0007397994489773813,6.0,89,Proxy_M2
86,2.238,-24.406945985276252,22.529800264429763,0.4761904761904761,137.56009825903607,261.2259251073417,0.0,0.000638666966399717,9.184187515508533e-05,0.0005468250912446317,6.0,89,Proxy_M2
87,2.219,-16.23395741218701,7.740757284462379,0.4892857142857142,126.32985126263142,198.20367723896732,0.0,0.0005746719242608815,6.982054259212686e-05,0.0005048513816687547,4.0,89,Proxy_M2
88,2.298,-5.321186233777553,54.4538366272583,0.3602040816326531,109.35551249027235,309.8480379066744,0.0,0.0007637850120555252,9.775324745807573e-05,0.0006660317645974495,7.0,89,Proxy_M2
