exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,horizon
83.232,-22.181013273602943,-22.15377331574546,1.0,448.2362928228545,356.6634588895765,0.0,0.0012885486938879638,0.00013195275797850132,0.0011565959359094626,6.0,5
75.882,-5.132910217127663,-5.119290238198919,1.0,95.36629249979069,44.63719404889658,0.0,0.0002478670959564944,4.577484895445057e-05,0.0002020922470020438,3.0,5
80.807,-8.138540367360074,-8.115840402478831,1.0,275.1352630759277,211.74684160378794,0.0,0.000783334971275327,7.264205589298444e-05,0.0007106929153823424,5.0,5
79.497,-9.519169283110184,-9.487389332276447,1.0,492.1479192569259,418.90388713158285,0.0,0.0013259264066609298,0.00016123312307555828,0.0011646932835853714,7.0,5
82.203,1.430982927603537,1.4582228854610282,1.0,385.55666374337426,312.6780702005842,0.0,0.0013036542977277914,0.00012271764410243724,0.0011809366536253542,6.0,5
81.329,-14.909484798282866,-14.886784833401624,1.0,272.9994059216689,197.33429441353624,0.0,0.0008008391175327322,8.909732148518745e-05,0.0007117417960475448,5.0,5
79.353,-12.00389999016304,-11.972120039329301,1.0,470.146380571793,384.2777804735569,0.0,0.00149519239611468,0.00010409946644354454,0.0013910929296711355,7.0,5
78.751,3.150222250506417,3.177462208363906,1.0,507.87967436946604,442.71656503904654,0.0,0.0014982152558130099,0.0001279074042118239,0.0013703078516011861,6.0,5
76.284,-11.882845307393637,-11.873765321441144,1.0,126.32990977504544,96.91320327699157,0.0,0.0004466070724360251,2.7228233700694007e-05,0.00041937883873533106,2.0,5
78.753,-12.807640333752198,-12.775860382918463,1.0,419.02975080726833,304.21396745259545,0.0,0.001473521100136348,0.00013815855934363498,0.001335362540792713,7.0,5
78.31,-33.33396530205496,-33.30218535122121,1.0,402.5988441312945,281.3745635349208,0.0,0.0012383276552574488,0.00011229233095831749,0.0011260353242991314,7.0,5
75.816,-4.890263828971406,-4.872103857066412,1.0,229.9298711072077,151.11408906496047,0.0,0.0007336141580948494,7.149727642083823e-05,0.0006621168816740112,4.0,5
82.14,-6.3048652340387195,-6.277625276181227,1.0,311.34044749111905,231.80753719548943,0.0,0.0009503712305182821,9.623950750088105e-05,0.000854131723017401,6.0,5
81.81,2.8528136128339225,2.870973584738917,1.0,253.4764462305003,216.2380909170334,0.0,0.0006591181841076396,7.167711799799767e-05,0.000587441066109642,4.0,5
74.219,-4.717122369898135,-4.698962397993144,1.0,306.3346169999269,253.47064305591488,0.0,0.0008499577508698359,8.684680928757616e-05,0.0007631109415822598,4.0,5
78.1,-2.4784762784181567,-2.460316306513163,1.0,263.14387195461046,219.24016451515052,0.0,0.0007843662454317336,9.794584260681787e-05,0.0006864204028249157,4.0,5
